iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"13,917,324,323.52"
Shares Outstanding,"128,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TSN","TYSON FOODS INC CLASS A","Equity","0.21","70.45","419,588.00","29,559,974.60","29,559,974.60","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.21","55.43","528,423.00","29,290,486.89","29,290,486.89","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.21","117.68","245,983.00","28,947,279.44","28,947,279.44","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","0.20","107.36","260,204.00","27,935,501.44","27,935,501.44","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","0.20","60.44","459,645.00","27,780,943.80","27,780,943.80","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.19","54.26","490,165.00","26,596,352.90","26,596,352.90","Industrials","2160753","US1264081035","NASDAQ"
"RF","REGIONS FINANCIAL CORP","Equity","0.19","15.23","1,733,478.00","26,400,869.94","26,400,869.94","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"KR","KROGER","Equity","0.19","20.06","1,301,614.00","26,110,376.84","26,110,376.84","Consumer Staples","2497406","US5010441013","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.19","186.58","139,370.00","26,003,654.60","26,003,654.60","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.18","139.74","182,576.00","25,513,170.24","25,513,170.24","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.18","119.82","210,294.00","25,197,427.08","25,197,427.08","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
